reviewer_name,title,review,id
Deepak I,Good but may not go again,"The resort location is ideal, good for families and groups, caring staff, food is OK. The cottages are not up to mark, considering the tariff paid. There is a lot of room for improving the beauty, tidiness that will make the stay more comfortable. I agree that given the location of the resort, it is hard to control insects, leeches in the resort, but effort needs to be taken to keep the swimming pool clean and the frogs, grasshoppers, leeches away. I felt the staff there is overburdened and hence these things are ignored.  Not sure why they play ""Bhakti"" music all the morning and evenings. Its better not to play music at all given that some people would be looking forward to spend quiet and quality time in the resort amidst the forest.",12
Kamath2013,"""Wonderful Trip""","We visited Kudremukh during the second week of September. We were told by our friends about this wonderful resort amidst lush greenery and spectacular misty views. We found the place to be clean and well maintained. There was another noisy group during our visit, who were enjoying  a    dip in the swimming pool overlooking the dining area. This resort has old cottages with ethnic looks as well as modern cottages, with all the facilities. The staff  were courteous and the service was excellent. The buffet food  had varieties and was yummy. We were looking out for 1. Good Accommodation and food and 2. Peace and tranquility, which we got here. An added advantage was that you could visit the Kudremukh National Park (16 Kms) and the famous Hornadu temple (6 Kms) from here, quite",12
SowPar,Worth the risk i took....,"Me and my colleagues had been to this resort. Contrary to some of the reviews I read in this page about the resort I found th place very clean and well  maintained. It has an heavenly ambiance and beautiful greenery everywhere. Very calm and soothing..Good for relaxation.   During food service i was really worried about the hygene as most of reviwes spoke about it being unhygenic, but i saw that the plates and spoons and glasses were very clean. Food was homely and tasty but little spicy for me.   Also the swimming pool was very clean and hygenic. Finally i felt that it was worth the risk i took and yes really a value for money place. The staff were very helpful and polite. I surely wouldnt mind making another trip. And suggest others too.",12
Romy S,Nice cozy place for Couples...,"Me and my husband had been to this place during Independence Day week for 2 nights. Had an amazing time. Lovely nature and cozy accommodation. Lot of greens around with wonderful view of fields. The food was simple and homely. The fish fry was very tasty. We stayed in the tree house which has a small seat out with the view of the volleyball court where we enjoyed a youngster group playing.   Talking about places of visit we had been to temples, trekking and also been to tea estate and waterfall near to resort. Weather is best...it was cold and pleasant. Also staff are very courteous and helpful.  Had a wonderful stay!!",12
yajnabekal,HIGHLY RECOMMENDED,"A great place to spend quality time with friends and family. Don’t find the words to explain the enchanting beauty of this place. There are lots of places to see around. Resort is located in a scenic atmosphere, covered by paddy fields and views of thick forest.  Though we booked 2 cottages for 6 of us, they upgraded our stay, and allotted 3 cottages as there were fewer crowds as it was a week day. The staffs were very hospitable and were responding to our every need. The food was really delicious and was served with a smile on face by serving staff. They provided breakfast, lunch and dinner in the package itself. Food was unlimited and we got the hi-tea with snacks in the package itself.   We enjoyed the camp fire with melodious music. We were allowed to play our collections.",12
jayduttk,Worst resort I will ever stay in this life!,"We rented a cottage at this place (201) for a long weekend i.e. (2 nights). To begin with the place looks nothing like what you see on the website- its totally dilapidated and gives you the feeling of staying in a servant's quarter. I am sure the staff working at the hotel also stays in similar accommodation that they have for their guests because I can't fathom any human being staying in a worse condition..   So here's my take on the place  1. Food - We found a mesh wire (used for cleaning plates) in the idli- however you could make out that the dishes, spoons etc.were just washed with water and had food remains on them...so makes me wonder what do they use the mesh wires for (obviously as an ingredient in the pathetic food that they dish up). Be prepared to eat the unconsumed",12
Dr Vikram V,Best to clarify on services at this resort,We just rented out three cottages at the resort. At first look the resort looks run down and badly in need of  a paint job. Also a lot of construction activity was on when we arrived. The cottages are cramped and damp with little or no ventilation. We stayed in cottage number 204 and this one had a bath room door that would not shut. Also The bed sheets and covers looked old and worn out.  Now the TV was not working and after repeated requests we got the service personnel to fix it. They finally they did it but 80 % of the channels had not been subscribed to.   To top that there are no phones in the cottages and one has to go to the reception every time you wanted something done.  Now to the food which was your average fare if you were studying in a medical college in Karnataka,12
venkyy17,"Excellent place, Kudremukh",We went for a team outing @ silent valley and the place was good. We stayed in 4/3 pax cottages which was good when compared to 2pax which is not good. Since we went in rainy season and was raining continuously for 16 hrs/day and crowd was less in the resort and we used the swimming pool to the full extent. The food was good and excellent that a plus point. Only we could not travel much due to rain where we could see only few places like dam and falls from the van.,12
Deepa V,Great place for team outing,"We had been with our team Kowni Technologies ,Bangalore on Friday night to Silent Valley and we had a real welcome from the resort team members. They were very cordial and friendly. The 2 days stay at the resort was really cool. The resort management kept up to all their promises...We  truly enjoyed the stay...Thanks Silent Valley team...",12
Sudip B,"Nice experience with Silent Valley, Kudremukh, Karnataka","Excellent location, decent hospitality and staffs, tasty food.  Some suggestion for improvements:  1.  Putting road side banner/hoarding/direction from Kalasa would be good to locate 2.  Include some activities in the evening time 3.  Bit of maintenance required for the swimming pool water 4.  Intercom/Room service is essential 5.  Poor mobile network  Regards \Sudip",12
ArindamDas,Reasonably good,"We stayed in this place twice in past few years. The cottages are rustic - be ready to meet frogs and snails in the bathroom. The food is good. The location is peaceful unless you have large groups staying there - it can get very noisy and swimming pool can get very crowded. Though it is green all around, there are no great views from the resort; you need to drive towards Kudremukh for that. It's good for corporate offsites / team building as there are playgrounds and open space.",12
praveengkumar,Peace!!!,"I stayed in Silent Valley from the 29th to 31st of Mar'13. The cottages are designed well and it was clean. While the food was good (especially Rice and Rasam :), I feel the non veg could have been better. Was expecting a spread of Malnad cuisines but got to taste only two specialties.  The staff's were very helpful and please note that there is no network connectivity (except IDEA) in case you plan to use your cell phone. There is a phone that can be used though (they did not charge for the calls).  Roads are pretty good, however a stretch of 20kms is very bad and we cannot blame the resort for that. Overall I would rate this place 4.  Cheers!! Praveen Gopinathan",12
deepnat,Family time,The trip was amazing as Silent Valley Resort welcomes you with a wonderful warm staff. Children feel very special as they are taken care of. The Swimming pool is neat and well maintained. Kudremukh national park is right next to the resort and the greenery and the scenic view is just amzing. Food was also good. I am a vegetarian so had the salads and the curries with coconut garnish (Malnad cusine) and the kids and my husband are non vegetarians and liked the fish and the chicken. I wont call it a very high end cottage but it is a decent place for the price we pay for the cottage. Mainly we got good sleep :),12
Vidisha5757,VIsit to Kudremukh,"Silent Valley,Kudremukh was one of the most wonderful experiences I had in May'2006. Be it the mountain, river, jungles..you get the blend of all natural beauties here. One must spend here and per day charge was around 2500-3000 Rs., but, it was worth. We stayed in the midst of the jungle in the Hut, but, with all facilities inside and the weather was too good in May also.The interiors of the hut was decorated with Rajasthani paintaings and one could feel the touch of the Village and too relaxed from the hustle and bustle of the cities. One must go there, discover,enjoy..and we went to one of the jungles..not able to recollect the name..Very Adventorous with the LEECHES there..but, overall, the journey to Kudremukh was awesome.",12
Rajeev_K_Nagpal,"Decent, delightful and divinely !!","With some apprehension, we booked this place paying full amount upfront. We were quite anxious after reading online negative reviews about this property. The discount as we got for corporate and off-season booking increased our doubts. Well, well.. well.. we reached Silent Valley only after 8+ hours journey from Bangalore. In between we called up the manager asking for directions and he assured to keep lunch ready for us no matter how late we reach. Though we booked standard villas but were accommodated in premium ones :-)  The hospitality and services were as lovable as the food esp. non-veg. The pool was somewhat dirty but it didn't discourage us to get the splash. The best part of tour was early morning trekking to nearby hill with breathtaking heavenly vista. Last but not",12
kvjayco,A serene place to spend a few days away from the city,"Silent valley is really silent, where one can forget all the worries and relax in natural surroundings. Most of the mobile networks do not work, internet connectivity is not there except iDea and so one can spend a couple of days without getting disturbed. The tariff is affordable. There is a swimming pool and a hut house, The cottages are built in old rural style, and the whole area is surrounded by greenery. The food is good, pleasant staff and a nice to place to stay with family.",12
Ganesan s,Short &sweet,We a group of four stayed in the resort in  January 2013. In between Temple visits we wanted to relax and booked the place. We checked in at nine pm and the staff were briskly as if we are checking in morning time.  Dinner was sumptuous with almost five veg dishes!! Combination of dry and with gravy. It was homely.   We retired telling we shall have our bed tea at seven.  Five am when I got up just to take a view of misty morning someone from the kitchen eagerly asked whether I need Tea!. That was nice to hear .  We had again filling breakfast and left after usual photo op of the resort.  Checkout was also smooth. Mr. Murthy was very hospitable and took good care of us.  Mr.john who is managing the project is a kind and simple person.He personally came and collected the advance,12
mrrahulghosh,A base for lovely drives,The drive from Bangalore to Kalasa in Chikamagalur district may be long but the climb through the Western Ghats is picturesque. Kalasa is close to 350 km from Bangalore and it took us 7 hours to get to our destination. We took the Bangalore-Mangalore highway upto Hassan and then took the state highway to Belur. From Belur we continued to Mudigere and then started the climb through the ghats to reach Kalasa.  The resort is situated in a valley just off the road. The place is supposed to be an ecotourism resort. The reception and dining place is quite basic. There is quite a few areas demarcated for sports activities such as volleyball and swimming. There is a dedicated space for bonfire in the evening. The cottages and villas are spread around across the plot (and the plot is,12
drjinwala,Nice Place,"It was wonderful holiday. The place is really silent. Cooperative staff, good food. Ya it requires some care of swimming pool. Room was clean & roomy. It was good time to relax & enjoy with family & friends. Its pollution free. It was pleasure to bath in dewdrops shedding from leaves of tree. Wonderful fog & sunrise.",12
visitroja,Life was so silent In silent Valley :),I had a wonderful weekend with my family last weekend. We were very much pleased with the behavior of the staffs and their available at any time attitudes. Mr Murthy in Dining time and Mr Umesh from front desk gave us all the support.  The food was delicious and never made us feel away from home. It made us feel heavenly the whole weekend.  My kind request to you to make aware of  your staffs to have a rule for bachelors not making too much noise around the cottages after 11 pm as we are disturbing the animals around the forest and the people sleeping in the cottages :)  Swimming pool had not much privacy once you pull corporate guys to pool. Everybody should have a chance to swim hence it should be given a time limit for every groups.  Intercom facility will bring more,12
Prakash G,Nice place,"Isolated location, nice place, food was very nice. Food serving team was cheerful. I felt homely. Swimming pool maintainance was poor. My eyes were burning after one hour swimming.                  <It is pestering me to type 200 char even though I already did....> Prakash",12
Dattathreya,Avarage,"food and facility was good during my stay. but very less place for roam, for swimming pool no privacy, outdoor ground having less place, have to extent more place for outdoor game. food quality & test very good, no proper signage board while travelling,",12
savithamanjuth63,love to talk about sileny valley,tell them to close or sell ii .it is not possible to run the place waiters r full title they r not able to speak with me. NO room service no intercom no network really the owns r making money and wed the fool have to eat the what ever there make which is not possible to eat >ROOM r in to bad  worst or what u like to say like hut hut in clean but this is no PLZ sell the place to a  or close,12
Ashwin K,A holiday you would want to cut short !,"Wish to share some intrestings things that happened during our stay.  - first hand experince of watching a snake eating a rat few yards away from the cottage, we were  told by the workers that this is common sight and there are times when the snakes visit the reception area...indeed a friendly and a loving place for everyone ! The resort is very badly maintained..pls don't go by the pictures on the net.. - No intercom facility - your morning coffee is a  good 100 - 200 mts walk to the restaurant area ! - A cable connection with only regional channels - watching movies is not allowed ! - Swimming pool full of flies and insects ; If you don't have a swimming costume, this is perfectly allowed. - For the first time my kids were more thrilled to get back home ! - The staff is very",12
AvidTraveller083,Not worth the money you pay,"I had been to this resort last year on 15th August (during the rains). Not quite satisfied with the arrangements. Negatives:- 1. High price 2. Dingy rooms (wet rooms during rains) 3. No water/tap in one of the cottages 4. Full of cement/sand due to repair work  5. Swimming pool not usable (not cleaned & frogs swimming). 6. Food is average Positives:- 1. location 2. Hospitable staff I had to pay the whole booking amount at one go to confirm the booking. Moreover, it was really sad that they agreed to give us cottages knowing that plumbing work was not proper in one of the cottages (it was not informed earlier).  Overall not satisfied - not worth the money they ask. Thankfully we had only 1 day booking.",12
Ron Albert C,Perfect Place and Excellent Service……!,"After searching for several options, we zeroed with ‘Silent Valley’ for our team outing of 80 members. I saw some negative reviews in the travel portal which was brought to my notice by my colleagues. But, we didn’t find any other property nearby to accommodate our group of 80 members. Hence I called up the resort people and had lengthy talk with regard to food and service to be provided to our team. Though I got the convincing answers from the resort people, I finally decided to go for a personal inspection with my colleague as I was answerable to the whole team. To my surprise, I found the place much better than what I expected. The resort in charge Mr.Umesh was a very nice person who took us to all the corners of the resort and we ensured that everything is in order and",12
Sharanu D,Great place to stay,"Great location, Hospitality, food and service. Staffs are very humble and curtsies . Great place to spend time with Family",12
AnkurBahri,Less than even an ordinary resort,"1. No signage on the way for you to locate the resort 2. Dont just get fooled by the pics shown for the resort because these pics wont tell you about the poor cleanliness, cable not working, damp bed sheets n foul smell in the cottages.  3. Although they say they have indoor/outdoor games but dont have a proper place or equipment. 4. No mobile coverage & you have hunt for spots to get even a weak signal.  5. Our driver was made to sleep in the car only although they said they have a dormitory for him. 6. Food was tolerable.  7. Only positive was that couple of staff members were friendly & helpful",12
anil992,Excellent facility,Staff and facility was good during my stay. excellent location.,12
nelisha_pinto,Heavenly Place with Courteous Staff,"I just finished my vacation here. its very nice Resort and very good hospitality. Before I am going there I thought its expensive. But its worth every Rupee. After we had our bed tea we went for Trekking. It s really nice to trek in the early morning and we enjoyed the beauty of sunrise also. After we come back to resort and freshen up a wide spread of breakfast was waiting for us. The breakfast was simply great. Also the lunch and dinner were too good. As we were there for 3 days, decided the first day to spend in resort itself to come out of the tiredness of long journey. We really enjoyed the calm and scenic surroundings of the resort. The swimming pool was crystal clear and was inviting. All of us had good time in the pool and the pool has a separation for kids with lesser",12
Shiva82,Horrible experience,"We stayed in resort for 3N 2D and experience was horrible 14/6/2012 to 17/6/2012 1.	No room service if we need any thing we need to walk all the way from our room to restaurant by our self which is 500mts away from rooms.  2.	No bar lounge we were asked to drink in our rooms with out room service. 3.	No playing area they say we can use games like Carom but in restaurant, they say     we can play Badminton with broken rackets and cricket with out proper place. Swimming pool is very badly maintained, actually it a place to hatch eggs for Frogs and filled with insects. 4.	They have manager, who doesn’t have proper manners to speak to visitors. 5.	Good place for couples who badly want rooms. The experience was horrible, please do not visit if your are visiting with your friends and",12
Ajith K,Pleasant Stay with Excellent Serice,"I had been to this place 2 times before and this is my third visit to ‘Silent Valley’. I must say hats off to the management of this resort for the way they brought up the improvements in the whole structure. First time when I visited in 2006, it was just okay. Still I liked the simplicity of this resort and the amazing beauty of this place. My second visit was in 2009 during Independence day. It was much more than my expectation compared to my earlier stay. But this time after 3 years, it was just amazing. They have come up with new villa and air conditioned accommodations.   The villa we booked was very cute and I really loved to sit and spend time in the big sit out of it. The view from the villa in early morning was awesome. I found the same cleanliness; tasty food and",12
Benaka R,Paradise of Honeymooners,"One of my friends suggested me this place for my honey moon. How can I explain? The entire stay was awesome. We stayed in the A/c Cottage. But once we reach there my wife was caught held by the view of Tree top. We requested the resort people to shift us to the Tree top. But as it was pre occupied one first day. we had to wait till next day. It was wonderful experience to be there in tree top. The service was excellent; staffs were very helpful and co-operative. The cleanliness was at its peak. To my surprise after finishing our breakfast when we come back to our room, we found our cloths kept folded which we thrown here and there. The Meals were the best we ever had.   We were spell bounded by the natural beauty around us. To add to the beauty of this place, it rained the day",12
savio s,Decent Resort,"Like the appearance of this RESORT,well maintained and good service .I get to stay here more often as I travel on business purpose. I like the staff ,very helping and well coordinated.  Very artistically made. Nice Resort with all the basic amenities and a good room. Complete value for money. Had a good time here.",12
Hyeeena,BADLY MAINTAINED.. BEWARE OF DOGS...,"1) First of all i would like to start from the mangalore station where i was picked up along with my family  and friends, we were totally 6 adults and a kid..  this guy who was sent by the resort to pick us up dint know the address of the resort so we did an extra of 120 kms before we reached the silent valley resort. the distance from the resort to the station is 100 kms and its done in 3 hrs.. but we travelled 220 kms and it took us 6 hrs.. by the time we reached all my friends my kid and me we re dead tired and absolutely frustrated thinking of cancelling the holiday...  2) As soon as we reached we were received by a dull looking reception and the people looking even duller...  3) There are no house phones.. in case of emergency you have to go all the way to the reception and",12
Team30,Terrible management.,"We as a team of 30 members visited the silent valley resort.We didn`t have pleasent day in the resort.Every day there is a problem from the resort management.The management motivation is to get money by arranging sight seeing.We as a team stayed in 10 rooms.Every room has each unique problem.Ex:hot water not coming,lock not working,like that so on...On the whole the total team is not satisfied with the resort.We could say it is not the place for silent.it is the place voilent.",12
Krishna80,A Sordid Tale of a Screwedup Holiday,"I am absolutely confused about where to start my review – sticky door mats? unclean toilets? non-working aircon? filthy swimming pool? no connectivity? smelly cupboard? discourteous staff? soiled blanket? damp pillows? dirty cutlery? bugs infested refrigerator? or about those stray dogs waiting to pounce on your food at lunch? I would strongly suggest that they rename this resort to something like “Death by Dirt“.  In my several years of holidaying/traveling, I have never come across such a disgustingly sub-standard property managed by people having no trace of humane elements.  I booked a cottage at silent valley resorts through a travel agency. I really wish I had done my bit of research than going with what the agent had to say. I later realized that there was enough warnings",12
Rajeev P,cheap n best resort,"this place s really nyc... v were 11 n v all njyd... :)  suaper worth fa d money v paid,.. awesome food.. soomny varieties...  rooms r good... neatness s tooo gud...  place s too gud... playgrnd s also nyc.... facilities were also gud...  it's really worth fa wat yu pay so gooo fa it.... n cheap too... :) i wud lyk 2 visit dis resort again.. :)",12
Suvra Kanta R,Not the best in business but not bad,"Some of the reviews for this place were horrifying, but I decided to take a chance on this. Turned out to be a quiet place with very cosy service. The staff were helpful and friendly. There are ample facilities if you don't want to go out for sightseeing and spend a day in here as they have a decent swimming pool, volleyball court, bonfire arrangements and an open dining area with a shed right in front of the pool. The cottages also look quite asthetically built from outside, can't say the same when it comes to inside though. The view from the resort is also natural and green but surely don't expect Tea or coffee gardens around...  We stayed in a cottage and I would consider them to be slightly overpriced if you are going in less numbers. They told us that the villas were new",12
praveen_Aspg,decent resort,"silentvalley : some reviews here were really bad and that made me worried till i reach the resort.Once there, felt a lot relieved and happy.we had a pleasant stay. its located almost 3 to 4km from kalasa towards kudremukh. very remote and silent. we stayed in cottages. tough they were old they were well maintained. everyone there were caring or atleast acted to be ;) food was decent(3/5). we were give volleyball,cricket bats,shuttlecock,carrom,playing cards to play and swimming pool was also maintained properly. had a very good gaming time after so many days.  some disappointments :  mobile signal - nil for airtel,vodaphone,aircel,docomo,bsnl. they said IDEA signal is available inside resort. since none of us had IDEA sim we don't know abt strength of signal. if we are ready to",12
Shankar N,A great place to unwind,"We had been there in the first week of Jan'2012.  We were a group of 30 and each one of us had a great time there.  There were a couple of bad reviews about this place in the web,  still we went ahead, considering the way they co-ordinated before our booking.  After visiting that place, i wonder how people could write such a bad review on a great place and even greater support staff.   Right from the moment we landed there to the time we bid good bye we were well taken care of, attended to with great care by all the people who work there.  particularly Santhosh and Umesh, who made sure that all the additional things that we demanded got to us in no time.  The food was great, the ambiance and facilities excellent.  We spent most of the time in the swimming pool, which was neatly",12
nelisha_pinto,Nice place for team outing...worth every penny,"I had been to Silent Valley with my colleagues almost a year back, we had an awesome time. So we decided to visit again...this time we were a big group of 46 people. We stayed there for 3days from 30th oct to 1st nov and was suprised to see that they have expanded, there were more cottages added and the new ones are beautiful with a excellent view of the fields and hills behind it. The food was excellent, the traditional buffet with local dishes made me miss home. The most what i liked was the ethnic old cottages...they are so cold and cozy and its nice to sit at the sit-out at night and enjoy the view. We also had great time in the evenings as we had outdoor games organized for us, played in the swimming pool and then we ended with campfire. We also had some learning sessions",12
Rocky D,GREAT PLACE TO UNWIND,"I had been to Silent Valley three years ago as it was recommended to me for its great location and nice places to see around. I went back this time and was pleasantly surprised to find that they have renovated the front office and restaurant with beautiful tiles by retaining the charm of open restaurant with great views of mountains. The cottages are clean and so is the linen. The service team is excellent and was responding to our requirements immediately.   While we thought of some uplifts in the amenities, the good news heard was that the resort is being renovated and should be all done by September 2011. Added to this we saw pretty good accommodations are being constructed and are in final stage of construction. I was caught hold by one of the beautifully built Villa which",12
HappyTraveller21_1,Our Trip to Silent valley resort Kalasa,I am glad to write this as more people can visit a wonderful place in kalasa called silent valley resort.  We went from corporate travel booking from our office. The booking procedure was really pleasant and customized to our requirements. We were a group of 60 colleagues and had pre booked the resort. They had arranged everything very beautifully for our arrival. We were given the exact directions to the resort and had no trouble finding it. We enjoyed amazing breath taking scenery from Bangalore to kalasa. The misty weather enhanced the beauty of the resort which is beautifully designed. On arrival at 8AM we were greeted to a sumptuous yummy breakfast buffet with ample choice. Each of us was stunned with the beauty of the resort and the courtesy of the resort staff on our,12
sunil_k_kumar,Do Not make Full Advance payment.,"After reading all this, If you decide to STILL go ahead and Book this place, DO NOT MAKE FULL PAYMENT. Make a Partial 30% payment, and tell them you will pay the rest when you leave. Skip this place, cancel the trip, get beaten up, whatever the case, Do No Make Full Payment. Come back and post your review here if you really feel like paying the rest of the money after your stay.  We visited this place on 13th weekend of August 2011: People who write reviews are the ones who have been traumatized to an extent that, they would relive it all again and write a review so that others don’t go through the same Hell. Please read thru all the review you can find anywhere and we have faced all those issues and more!!  Reviews from so many years, all of them say the same thing. “Stay Away",12
Jayaram P,Pleasant Experience,"Myself and my wife spent 3 night and 4 days at Silent Valley resort. Overall it's been a very peaceful stay at this place. Food and hospitality was excellent. Rooms were decently maintained for the kind of rainy places it is. We did not face any major issues with the room except for some occassional power cuts and water shortage, which was again well attended to by the members there. We wanted to stay close to nature and spend a quiet time away from the madding crowd. So, I will not go about complaining about insects and bugs. It's part and parcel of any resort that's in a location away from concrete jungle. Unfortunately it was raining cats & dogs during the time we'd visited, but management team was good enough to give suggestions about places and the time to visit. We even",12
dashabekal,WONDERFUL TEAM OUTING,"This destination is ideal for team outing. I had been to this place with a team of 23 and we enjoyed a lot with camp fire and music till late night. This was my second visit to Silent Valley. We had a wonderful stay. Rooms are renovated & far better than that during our previous stay before last year. Tariff is also reasonable as they worked out it for just Rs.1,450/- per head with all meals and taxes as a corporate offer under sharing basis. To be honest as per my enquiry with other home stays in that location this is the best deal what they offered. Over all we had a wonderful time. I found it very difficult to get booking during weekends. Hence plan well in advance.",12
BRITTO DOMINIC R,It was a memorable one,The interior of room aesthetics can be improved. Connectivity (cell-phone) problem is there. At present only BSNL and idea mobile get connectivity. Intercom is not there. Travel desk is required. Proper road has to be laid connecting to the main road.,12
rbekal,Worth every Rupee.,"The staff are extremely courteous.The rooms were a bit damp since it was raining heavily.The geyser could be upgraded to a higher capacity since it takes time to heat the water.The room was spacious and very comfortable,except for the dampness.Its very well located,to see the temples around.The amenities are not much except for the TV & a swimming pool.The best part is the food and the service, ofcourse the staff are very well mannered and courteous.We over ate,since could not resist the local delicacies.Maybe we should try the place again in the month of Nov./ Dec.We would like to thank the Management and staff for making it a memorable birthday for my daughter.",12
sajina_joseph,Very Bad :(,"Hi, I went to Silent Valley on 14th aug with my collegues. We decided on this place seeing the web site, which pictured it very beautifully,but actually it was just the opposite. The rooms are badly maintained. The common toilet was worse than public toilets in the bus stand. You could find frogs, leeches and lot of insects in the rooms. Food was not good. The timings for the bonfire is 7.30-10.00 p.m. They started it very late and they have horrible collection of music and their music system was pathetic. I short a horrible experience. So I would never recommend this place.",12
crnv,Terrible experience,"We stayed at Silent Valley Resort a few weeks ago when we were in India on vacation, our expectations were moderate but we were completely horrified when we checked in, I have listed the things that were wrong 1. They called 5 times a day before we went there and were asking us all sorts of questions like, when would we checkin, would we eat breakfast, lunch and dinner. This made me realize that they were not prepared to host us at all. 2. We checked in late in the evening and it was dark and raining, they had lost power and did not have the generator running till we got there, we went to the lobby using a flashlight. 3. I had specifically asked them to make sure the room amenities were there before we checked in, we did not even have toilet paper in the room and we had to ask",12
Fishermans N,Pathetic  - Not maintained :(,"I went to this place along with my wife. we drove down to this place from Bangalore. Drive to this place was very good. we went with a lot of expectation to the silent valley!!  Place was not maintained at all ...I do not want to explain in details . Uploading few photos  Some positive things about the place .  if you climb up the hill from the resort , we will get a good view. the breakfast was OK .",12
Vinod Monteiro,Not value for money,Pristine location with old cottages  They are not maintained well There is not sufficient staff to take care of room service or to meet the requirements. The charges are higher than the services they offer  Fortunately the minimum staff there put their maximum efforts to please the guests by overworking which may not workout for long. Hence before you book here confirm from others who stayed recently.,12
SILENT_VALLEY_RESORT,Perfect enviorment friendly place,Good place to relax and lots of tacking place around. Good and tasty food. Rooms can be maintained better........,12
siva_70,Heavenly Place,"Hi, This was my first trip to Kudremukha with my family and the Silent valley resort made it a memorable one. The smiling faces of the staff, the quality of  the service & food was excellent. If any one want's to visit Kudremukha the best place to stay is Silent valley. One disadvantage is their price is little high.",12
Prathap C,Great Place for a peaceful vacation,"We hosted our riding club's second anniversary at Silent Valley and were satisfied with the service and offerings, though the cost was on the higher side, considering the fact that, there were more than 40 people in the group. The place sits on the outskirts of the forest sof Kudremukha, with good greenary. We were disappointed to find out that there far too many people in the resort for comfort. The resort was literally tucked in with people. So next time anyone going here, please make sure that, it wont be like a resort in b'lore or mysore. Crowd is the least thing we expect in a ""Silent Valley"".",12
Karthik K,A perfect place for the leisure,"A place where weekends goes on... Nice food, value for the money",12
sainath_adiraju,Perfect place for big family outing,"You can prefer the place if you are nature lover , away from the city noise amidst of nature , once can enjoy the stay there. Food is awesome , staff is an asset for the resort they will treat you like gods. All in All I would really prefer the place and recommend.",12
shalini g,Simply value for money -beautiful location-extremely helpful staff,Had an amazing experience here. Most important was the service offered by  the cordial staff.Cottages were also very clean and the view from there was breathtaking.Food offered was of very good quality and taste.Really enjoyed our stay ....,12
Kiranmb,Simple Yet Luxurious,A very simple yet Luxurious resort located amidst the nature. The resort has excellent staff always at your help. Nice Homely Food with other recreational amenities.  Cons - The Cottage can be improved for better comforts.,12
Srikrishna_bangalore,Impressed enough to warrant a second visit,"Our group consisted of kids from 8yrs old to grand mothers in their 60's. The fact that all enjoyed their stay was because of the hospitality of the crew at Silent Valley. We needed low spice diet food for elders - which was catered to, and we also got fries (on request) for the kids. Special needs were communicated to the resort crew and we had hot lunch as we reached the place. There is a hill right behind the place that we explored ( to me that was the highlight) while the kids enjoyed the pool, photographers and bird watchers also have a a fair chance of getting a good snap. We requested for additional beds to cater to the our group but the cots could have been better, and watch out there is no cell signal there - which was a good thing for us to switch off.",12
srilakshmi,Home like food and great service staff,I travelled with my family accompanied with 2 cousin's families. The first impression about the cottages was that it had a damp smell due to the rains over the previous couple of days. It was handled by using a room freshener which did help a bit. The excellent food and the helpful service staff made us feel very good since we wanted to have a relaxed time without bothering about where and what to eat next. Room Hygiene in the older cottages definitely needs a overhaul.,12
Nidhishree,Run down hole-in-the-wall guaranteed to burn a hole in your wallet.,"My husband and I had a long weekend mid-April and decided to make the most of it in Chicmagalur. We found Silent Valley on the internet. The resource person got in touch with me on email and I followed it up with phonecalls to book 3 nights and 2 days stay. Their website advertises a 'treehouse' and we decided to go with that.  The resource person of Silent Valley pursued us relentlessly and insisted on us making a full payment upfront by way of deposit in Silent Valley's Bank account. Silent Valley charges Rs.5,000/- per night along with an additional charge of Rs2,60/- towards breakfast charges.  After a 6 hour drive from Mysore we land up at the property at 11:15 p.m., only to be greeted by a ramshackle gate and a desolate entrance. We walk into the reception area to the",12
sonu_11,Excellent!,"Its a wonderful place out of city noise, really good staff who are taking care of us and making us feel at home. I was at Tree house for my birthday and they had arranged for the same with just little extra cash. Food was delicious. weather was so favorable to us. It was complete surprise for me as well   I would like to thank the staff who were so very good in taking care of each and every guest. Thanks to you for accommodating my request and making my birthday and very special one.",12
Vinayak M Kulkarni,"Great hospitality, food and very comfortable stay!","We (a group of 6 friends) wanted to go to Kudremukh for trekking. Found information about this resort on the web and booked 2 cottages for 3 days, after some price negotiation.  This resort is not one of the high end resorts that people might have imagined or would expect but a quiet and cozy resort in the country side. The facilities are not of 5 star cadre but are good enough for the weekend get away and to have a refreshing country side experience.  We stayed there for 2 nights and we really enjoyed our stay for sure. Two things that we were totally impressed with was their hospitality and the food served. The entire team was very courteous. The food there was excellent and very homely.   Two evenings we enjoyed playing Badminton (outdoor), Cricket with our own rules.",12
Anand_atlasblr,Its great Refreshing environment in Silent valley.It was a great experience to our team,"Dear Mr John   We are had great Refreshing environment in Silent valley .place was good with excellent team of staff catering to our requirement .It was a great experience to our team .Would recommend this beautiful place to our international clients and joint venture partners and friends   Traditional Folk Dance namely “kilu Kudre “ was excellent and entertained our team .Food was sumptuous and tasty .we carried back some of the best memories of team building and fun.   We will visit again to refresh and unwind .     Anand k  Chief Finance Officer   Atlas Logistics Pvt Ltd                                    Corporate Office : #777-b,100 Ft Road, Indiranagar,HAL II Stage Bangalore -560 038 India +91 080 4198 5000 www.atlaslogistics.co.in Branches: North;New",12
